"ID_REF"	"GSM3581926"	"GSM3581927"	"GSM3581928"	"GSM3581929"	"GSM3581930"	"GSM3581931"	"GSM3581932"	"GSM3581933"	"GSM3581934"	"GSM3581935"	"GSM3581936"	"GSM3581937"
"ASHGV40000006"	3.1232057	3.032257	2.4563587	3.3421729	3.3308964	2.5497591	2.4661245	2.460818	3.2611823	2.8364687	3.8575475	3.316636
"ASHGV40000008"	4.1686316	4.3711123	4.7595286	5.495721	4.6117415	5.5853863	6.2144184	6.261079	6.408607	5.116228	3.7214677	6.265213
"ASHGV40000009"	11.230066	11.832865	10.965346	10.958925	10.79979	11.451801	11.045814	10.886423	11.456154	11.294367	10.780218	11.42468
"ASHGV40000010"	7.503246	7.013744	7.26619	7.82185	7.1952076	8.289962	7.9921565	7.648441	8.566145	7.909455	7.357087	8.070371
"ASHGV40000011"	5.6468596	5.498207	5.8473573	5.735609	5.385582	6.878271	5.93983	5.783309	6.581642	5.958029	5.2379355	6.148011
"ASHGV40000013"	8.458193	8.198142	8.097155	8.101589	7.875365	8.495523	8.02079	7.8998723	8.301573	7.96141	7.8723397	7.7677746
"ASHGV40000014"	10.09894	9.746667	9.550617	9.537055	9.2859535	10.120808	9.58216	9.308717	9.834962	9.56843	9.327603	9.184131
"ASHGV40000015"	7.68244	7.2180123	9.170917	8.348105	9.104571	7.608909	7.2137637	8.875486	7.9303436	7.9986196	9.966641	8.922442
"ASHGV40000017"	7.4946084	7.629089	7.1701794	7.293453	7.228788	7.5361423	7.5142097	7.359174	7.514492	7.3501377	7.072522	7.3163233
"ASHGV40000018"	5.2568045	5.8439746	6.274333	6.0460634	4.9783545	5.0827737	5.705285	6.091764	4.5187693	4.657765	4.211044	4.694221
"ASHGV40000019"	10.918312	11.831594	11.04472	12.029381	11.874298	12.811893	12.611906	12.135048	12.550273	12.325603	11.995288	12.329853
"ASHGV40000020"	10.696927	11.022724	10.238934	9.646651	10.148175	8.825662	9.803698	9.539948	9.224026	9.231775	10.0294285	9.286308
"ASHGV40000021"	6.531645	6.4323683	5.492714	5.4488406	5.9303393	7.384063	7.2864304	5.5211577	7.059773	5.9616523	5.8978047	6.6962614
"ASHGV40000022"	12.223918	11.492518	11.929277	11.91132	11.228682	12.872589	11.998249	11.2825575	12.224557	11.583109	10.66973	11.371302
"ASHGV40000023"	9.423651	8.130792	10.279546	9.303858	10.489624	7.912224	8.838986	11.870888	9.46176	8.869308	10.965831	10.334204
"ASHGV40000025"	8.679172	10.512193	8.751366	8.338726	10.154172	9.096324	9.310073	10.204169	8.783114	8.8906	10.7712755	9.165968
"ASHGV40000026"	8.567673	8.52189	8.343764	7.4843984	8.012671	8.673095	8.475986	7.9301734	8.740667	7.832883	7.867763	8.493007
"ASHGV40000027"	4.2350554	3.8110306	3.954988	2.375437	3.0962026	4.3034167	3.041433	3.1274889	2.8641803	4.011869	2.3774798	3.8576853
